Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
22/01/2000;0;null;null;null;6;0;1004.8;null;26.8;24.4;null;82;0;0;50
22/01/2000;1200;null;null;null;10;19;1008.1;null;24.2;22.6;null;87;0;0;20
22/01/2000;1800;null;null;null;9;2.2;1005.2;null;27.8;25;null;80;0;0;50
23/01/2000;0;null;null;null;6;0;1005;null;26.2;25;null;91;0;0;50
23/01/2000;1200;null;null;null;10;0.4;1007.6;null;24.8;24.2;null;95;9;2;20
23/01/2000;1800;null;null;null;6;0;1004.4;null;30;25.4;null;69;9;3;70
24/01/2000;0;null;null;null;0;0;1005;null;25.2;24;null;91;0;0;70
24/01/2000;1200;null;null;null;8;0;1006.9;null;26;24.8;null;91;9;1;50
24/01/2000;1800;null;null;null;10;16;1004.4;null;29.4;24.8;null;69;5;3;20
25/01/2000;0;null;null;null;10;1.2;1005.7;null;24;23.2;null;93;0;0;20
25/01/2000;1200;null;null;null;9;0;1008.7;null;24.2;23.4;null;94;0;0;50
25/01/2000;1800;null;null;null;8;0;1004.8;null;29;25.4;null;75;0;0;50
26/01/2000;0;null;null;null;6;0;1005.6;null;27.2;25.2;null;85;0;0;50
26/01/2000;1200;null;null;null;4;0;1007.5;null;27;25.4;null;88;5;1;60
26/01/2000;1800;null;null;null;5;0;1005.1;null;30.2;26.2;null;73;9;2;70
27/01/2000;0;null;null;null;2;0;1004.9;null;28;25;null;78;0;0;20
27/01/2000;1200;null;null;null;9;0;1007.6;null;26.4;23.6;null;79;0;0;60
27/01/2000;1800;null;null;null;6;0;1006.5;null;31.6;25.6;null;62;9;2;60
28/01/2000;0;null;null;null;4;11.6;1005;null;25.6;24.4;null;91;0;0;50
28/01/2000;1200;null;null;null;4;0;1006.8;null;27;25;null;85;0;0;60
28/01/2000;1800;null;null;null;5;0;1003;null;33;26.2;null;59;9;2;70
29/01/2000;0;null;null;null;4;0;1003.4;null;29.2;27;null;84;0;0;50
29/01/2000;1200;null;null;null;10;19.8;1007.4;null;24.4;23.4;null;92;0;0;20
29/01/2000;1800;null;null;null;10;47.6;1005.3;null;25.2;23.2;null;85;5;1;20
30/01/2000;0;null;null;null;0;0;1005.1;null;25;23.6;null;89;0;0;20
30/01/2000;1200;null;null;null;8;0;1007.8;null;25;24.2;null;94;0;0;50
30/01/2000;1800;null;null;null;10;23.6;1008.2;null;23.4;22.6;null;93;36;1;50
31/01/2000;0;null;null;null;8;0;1006.8;null;24.4;23.4;null;92;0;0;50
31/01/2000;1200;null;null;null;10;0;1009.6;null;23.8;23.6;null;98;0;0;20
31/01/2000;1800;null;null;null;8;0;1007.3;null;31.4;26.2;null;66;9;2;50
01/02/2000;0;null;null;null;6;1;1008.4;null;26;24.2;null;86;0;0;20
01/02/2000;1200;null;null;null;4;0;1010.3;null;26.2;25.4;null;94;0;0;50
