Data Medicao;Hora Medicao;CH (NUVENS ALTAS)(codigo);CL (NUVENS BAIXAS)(codigo);CM (NUVENS MEDIAS)(codigo);NEBULOSIDADE, HORARIA(décimos);PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA AO NIVEL DO MAR, HORARIA(mB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO AR - BULBO UMIDO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(codigo);VENTO, VELOCIDADE HORARIA(m/s);VISIBILIDADE, HORARIA(codigo)
24/01/2000;0;null;null;null;4;0;null;null;25.2;24.4;null;93;0;0;60
24/01/2000;1200;null;null;null;10;0;null;null;24.4;24.2;null;98;0;0;20
24/01/2000;1800;null;null;null;4;11;null;null;26.8;25.6;null;90;0;0;60
25/01/2000;0;null;null;null;10;6.4;null;null;24.6;23.8;null;93;0;0;20
25/01/2000;1200;null;null;null;10;0;null;null;23;22.8;null;98;0;0;20
25/01/2000;1800;null;null;null;4;0;null;null;31.4;28.2;null;78;0;0;60
26/01/2000;0;null;null;null;4;0;null;null;26.8;25.6;null;90;0;0;60
26/01/2000;1200;null;null;null;2;0;null;null;24.8;24;null;93;0;0;50
26/01/2000;1800;null;null;null;4;0;null;null;30;27.6;null;82;0;0;60
27/01/2000;0;null;null;null;10;1.8;null;null;25;24.6;null;97;0;0;20
27/01/2000;1200;null;null;null;2;0;null;null;24.4;23.8;null;95;0;0;50
27/01/2000;1800;null;null;null;10;0;null;null;28.4;27;null;89;23;1.6;20
28/01/2000;0;null;null;null;10;0;null;null;24.6;23.6;null;92;0;0;20
28/01/2000;1200;null;null;null;10;4.2;null;null;22.8;22.4;null;96;0;0;20
28/01/2000;1800;null;null;null;4;3.4;null;null;27.2;26.4;null;94;0;0;60
29/01/2000;0;null;null;null;4;0;null;null;25.4;24.8;null;95;0;0;60
29/01/2000;1200;null;null;null;10;0;null;null;24;23.6;null;97;0;0;20
29/01/2000;1800;null;null;null;4;0;null;null;31.2;28;null;77;0;0;60
30/01/2000;0;null;null;null;4;2;null;null;26;25;null;92;0;0;60
30/01/2000;1200;null;null;null;10;24;null;null;23;22.8;null;98;0;0;20
30/01/2000;1800;null;null;null;4;0;null;null;30.6;27.8;null;80;0;0;60
31/01/2000;0;null;null;null;0;0;null;null;25.6;24.8;null;93;0;0;60
31/01/2000;1200;null;null;null;2;0;null;null;24.2;23.6;null;95;0;0;50
31/01/2000;1800;null;null;null;10;4;null;null;27;25;null;84;0;0;20
01/02/2000;0;null;null;null;4;0;null;null;24.8;24;null;93;0;0;60
01/02/2000;1200;null;null;null;10;1;null;null;23;22.8;null;98;0;0;20
01/02/2000;1800;null;null;null;4;0;null;null;33.4;28.2;null;66;0;0;60
02/02/2000;0;null;null;null;10;10.6;null;null;24;23.4;null;95;0;0;20
02/02/2000;1200;null;null;null;10;0;null;null;22.6;22.2;null;96;0;0;20
02/02/2000;1800;null;null;null;4;0;null;null;31.2;27.6;null;75;0;0;70
03/02/2000;0;null;null;null;0;0;null;null;26.4;25.6;null;93;0;0;60
03/02/2000;1200;null;null;null;10;25;null;null;23;22.8;null;98;0;0;20
03/02/2000;1800;null;null;null;4;0;null;null;30;26.8;null;77;0;0;60
04/02/2000;0;null;null;null;4;0;null;null;25.8;25;null;93;0;0;60
04/02/2000;1200;null;null;null;2;0;null;null;23.2;22.6;null;95;0;0;50
04/02/2000;1800;null;null;null;4;0;null;null;34;28;null;62;0;0;70
05/02/2000;0;null;null;null;0;0;null;null;26;24;null;84;0;0;60
05/02/2000;1200;null;null;null;2;1.2;null;null;24.4;24;null;97;0;0;50
05/02/2000;1800;null;null;null;4;0;null;null;33;28.6;null;71;0;0;70
06/02/2000;0;null;null;null;10;19.4;null;null;23.4;23.2;null;98;0;0;20
06/02/2000;1200;null;null;null;2;27.4;null;null;22.8;22.6;null;98;0;0;50
06/02/2000;1800;null;null;null;4;0;null;null;32;28;null;73;0;0;70
07/02/2000;0;null;null;null;10;2;null;null;25;24;null;92;0;0;20
07/02/2000;1200;null;null;null;10;0;null;null;23.6;23;null;95;0;0;20
07/02/2000;1800;null;null;null;10;5.4;null;null;27;25;null;84;0;0;20
08/02/2000;0;null;null;null;10;3.4;null;null;23.8;23.4;null;97;0;0;20
08/02/2000;1200;null;null;null;2;0;null;null;23;22.6;null;96;0;0;50
08/02/2000;1800;null;null;null;4;0;null;null;30.2;28.2;null;85;0;0;60
09/02/2000;0;null;null;null;4;0;null;null;26.2;25.2;null;92;0;0;70
09/02/2000;1200;null;null;null;2;0;null;null;24.2;24;null;98;0;0;50
09/02/2000;1800;null;null;null;4;0;null;null;33.2;28.4;null;68;23;1.6;70
10/02/2000;0;null;null;null;4;0;null;null;27.2;26;null;90;0;0;60
10/02/2000;1200;null;null;null;10;0;null;null;24;23.4;null;95;0;0;20
10/02/2000;1800;null;null;null;4;0;null;null;32.6;27.6;null;67;0;0;70
11/02/2000;0;null;null;null;0;0;null;null;25.4;24;null;88;0;0;60
11/02/2000;1200;null;null;null;2;0;null;null;24.4;24.2;null;98;0;0;50
11/02/2000;1800;null;null;null;4;0;null;null;34.2;27.8;null;60;0;0;60
12/02/2000;0;null;null;null;10;7;null;null;26;25;null;92;0;0;20
12/02/2000;1200;null;null;null;2;0;null;null;23.8;23.4;null;97;0;0;50
12/02/2000;1800;null;null;null;4;0;null;null;33;28;null;67;0;0;60
13/02/2000;0;null;null;null;4;0;null;null;23;22;null;91;0;0;60
13/02/2000;1200;null;null;null;10;0;null;null;23.4;22.8;null;95;0;0;20
13/02/2000;1800;null;null;null;4;0;null;null;34;28.6;null;65;0;0;70
14/02/2000;0;null;null;null;4;0;null;null;26;24;null;84;0;0;60
14/02/2000;1200;null;null;null;2;0;null;null;24.4;23.6;null;93;0;0;50
14/02/2000;1800;null;null;null;4;0;null;null;33;27.2;null;62;23;1.6;70
15/02/2000;0;null;null;null;4;0;null;null;27.4;26.2;null;91;0;0;60
15/02/2000;1200;null;null;null;10;32.4;null;null;22;21.8;null;98;0;0;20
15/02/2000;1800;null;null;null;10;1.8;null;null;24.6;23.8;null;93;0;0;20
16/02/2000;0;null;null;null;4;0;null;null;23.8;23.6;null;98;0;0;60
